,df,icao,crc_valid,capability,capability_text,typecode,bds,subtype,selected_altitude,selected_altitude_source,baro_pressure_setting,selected_heading,nac_p,nic_baro,sil,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,tcas_operational,flight_status,flight_status_text,downlink_request,utility_message,altitude,squawk,icao_verified,magnetic_heading,indicated_airspeed,mach,baro_vertical_rate,inertial_vertical_rate,nac_v,groundspeed,track,vr_source,vertical_rate,geo_minus_baro,surveillance_status,nic_b,cpr_format,cpr_lat,cpr_lon,nuc_p,vertical_status,cross_link_capability,sensitivity_level,reply_information,supported_bds,version,nic_supplement_a,hrd,capability_class,operational_mode,sil_supplement,roll,true_track,track_rate,true_airspeed,selected_altitude_mcp,emergency_state
0,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,7816A1,True,,,29.0,"6,2",1.0,35008.0,MCP/FCU,1012.8,,9.0,1.0,3.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,3C6542,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,7816A1,True,,,,,,,,,,,,,,,,,,,0.0,"No alert, no SPI, airborne",0.0,0.0,,7103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,3C6542,True,,,29.0,"6,2",1.0,4000.0,MCP/FCU,1020.8,,9.0,1.0,3.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,7816A1,True,,,,"6,0",,,,,,,,,,,,,,,,,,,35000.0,,False,49.74609375,276.0,0.812,96.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11,7816A1,True,5.0,"Level 2+, airborne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,17,3C6542,True,,,19.0,"0,9",1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,134.0,49.214178522734045,BARO,-704.0,400.0,,,,,,,,,,,,,,,,,,,,,,,
